,Name,RAdeg,DEdeg,GLON,GLAT,ePos,Signi,EF30-100,e_EF30-100,EF100-300,e_EF100-300,F30-100,e_F30-100,F100-300,e_F100-300,Class1,z,Assoc1,Assoc3FGL,AssocCOMP
0,1FLE J2254+1617,343.562622,16.287817,86.282646,-38.105961,0.240857,99.997,2.73247e-10,5.55047e-11,2.50605e-10,5.88184e-11,3.27976e-06,6.66218e-07,1.03992e-06,2.23851e-07,fsrq ,0.859,3FGL J2254.0+1608 ,3FGL J2254.0+1608 ,3C_454.3               
1,1FLE J1512-0913,228.232956,-9.233129,351.193451,40.025375,0.242604,60.441,1.56221e-10,3.17331e-11,1.24968e-10,3.71496e-11,1.8751e-06,3.8089e-07,5.94545e-07,1.41384e-07,fsrq ,0.36,3FGL J1512.8-0906 ,3FGL J1512.8-0906 ,                       
2,1FLE J1427-4205,216.989639,-42.09354,321.455719,17.280119,0.244704,24.845,7.73699e-11,1.71551e-11,8.1904e-11,2.43479e-11,9.28664e-07,2.05911e-07,2.94454e-07,9.26634e-08,fsrq ,1.552,3FGL J1427.9-4206 ,3FGL J1427.9-4206 ,                       
3,1FLE J1636+3831,249.102509,38.516739,61.621136,42.136776,0.24373,33.866,7.31355e-11,1.62162e-11,5.95242e-11,1.7695e-11,8.77839e-07,1.94642e-07,2.78339e-07,6.73437e-08,fsrq ,1.814,3FGL J1635.2+3809 ,3FGL J1635.2+3809 ,                       
4,1FLE J2231+1132,337.93869,11.53837,77.075043,-38.593109,0.243086,30.071,6.88284e-11,1.52612e-11,7.43216e-11,2.20939e-11,8.2614e-07,1.83179e-07,2.61947e-07,8.40849e-08,fsrq ,1.037,3FGL J2232.5+1143 ,3FGL J2232.5+1143 ,CTA_102_(PKS_2230+114) 
5,1FLE J1227+0218,186.971298,2.308913,289.132965,64.547798,0.243569,31.05,6.49031e-11,1.43909e-11,3.7457e-11,1.06337e-11,7.79026e-07,1.72732e-07,2.47008e-07,4.04698e-08,fsrq ,0.158,3FGL J1229.1+0202 ,3FGL J1229.1+0202 ,3C273                  
6,1FLE J1256-0545,194.023575,-5.764687,305.063843,57.087788,0.243811,29.215,6.28242e-11,1.39299e-11,6.46348e-11,1.92143e-11,7.54072e-07,1.67199e-07,2.39096e-07,7.31256e-08,fsrq ,0.536,3FGL J1256.1-0547 ,3FGL J1256.1-0547 ,3C279                  
7,1FLE J2203+4214,330.759003,42.242191,92.614609,-10.504754,0.245031,20.402,5.72939e-11,1.27037e-11,4.90091e-11,1.45691e-11,6.87693e-07,1.52481e-07,2.18049e-07,5.54472e-08,bll  ,0.0686,3FGL J2202.7+4217 ,3FGL J2202.7+4217 ,                       
8,1FLE J1224+2118,186.24559,21.313829,255.477493,81.625549,0.243811,28.172,5.63525e-11,1.2495e-11,4.97659e-11,1.47941e-11,6.76393e-07,1.49976e-07,2.14466e-07,5.63034e-08,fsrq ,0.435,3FGL J1224.9+2122 ,3FGL J1224.9+2122 ,GROJ1224+2155          
9,1FLE J1522+3147,230.627151,31.785442,50.256393,56.951508,0.243892,25.874,5.58514e-11,1.23839e-11,4.71028e-11,1.40024e-11,6.70379e-07,1.48642e-07,2.12559e-07,5.32905e-08,fsrq ,1.487,3FGL J1522.1+3144 ,3FGL J1522.1+3144 ,                       
10,1FLE J0841+7056,130.438507,70.941139,143.477264,34.43948,0.244786,20.245,5.43428e-11,1.20494e-11,3.13524e-11,8.90068e-12,6.52271e-07,1.44627e-07,2.06818e-07,3.38742e-08,fsrq ,2.218,3FGL J0841.4+7053 ,3FGL J0841.4+7053 ,                       
11,1FLE J1047+7131,161.908981,71.522903,135.684586,42.405716,0.244949,19.5,5.05949e-11,1.12183e-11,4.34901e-11,1.29285e-11,6.07285e-07,1.34652e-07,1.92554e-07,4.92032e-08,fsrq ,1.15,3FGL J1048.4+7144 ,3FGL J1048.4+7144 ,                       
12,1FLE J0721+7121,110.442207,71.35022,143.972931,28.008074,0.245276,17.299,4.61017e-11,1.02221e-11,4.04504e-11,1.20249e-11,5.53354e-07,1.22694e-07,1.75454e-07,4.57642e-08,bll  ,0.127,3FGL J0721.9+7120 ,3FGL J0721.9+7120 ,                       
13,1FLE J0403-3554,60.784561,-35.908665,237.471649,-48.631451,0.245194,19.344,4.07988e-11,9.04626e-12,2.96926e-11,8.42946e-12,4.89704e-07,1.08581e-07,1.55272e-07,3.20808e-08,fsrq ,1.417,3FGL J0403.9-3604 ,3FGL J0403.9-3604 ,                       
14,1FLE J2155-3018,328.941254,-30.302166,17.486219,-51.588562,0.244298,19.259,3.92188e-11,1.18274e-11,2.58562e-11,7.34034e-12,4.7074e-07,1.41963e-07,1.49259e-07,2.79359e-08,fsrq ,2.345,3FGL J2151.8-3025 ,3FGL J2151.8-3025 ,                       
