,Name,Name_4FGL,CLASS1,RAdeg,DEdeg,EF30-100,e_EF30-100,z_1FLE
0,1FLE J0003+2114,4FGL J0001.5+2113 ,fsrq,0.760079,21.245716,8.23725e-12,2.72626e-12,1.106
1,1FLE J0036-4236,4FGL J0030.3-4224 ,fsrq,9.181559,-42.611687,8.29904e-12,2.74671e-12,0.495
2,1FLE J0109+0136,4FGL J0108.6+0134 ,fsrq,17.337948,1.601034,3.38575e-11,1.02105e-11,2.099
3,1FLE J0105+6233,4FGL J0109.7+6133 ,fsrq,16.489763,62.555679,3.54913e-11,1.07032e-11,0.783
4,1FLE J0111+3207,4FGL J0112.8+3208 ,fsrq,17.967951,32.128948,1.04685e-11,3.46473e-12,0.603
5,1FLE J0117+2420,4FGL J0115.8+2519 ,bll,19.374563,24.347067,1.04002e-11,3.44213e-12,0.358
6,1FLE J0119-2300,4FGL J0118.9-2141 ,fsrq,19.805134,-23.007099,8.50031e-12,2.81333e-12,1.165
7,1FLE J0136+4752,4FGL J0137.0+4751 ,fsrq,24.22703,47.867603,1.38158e-11,4.5726e-12,0.859
8,1FLE J0144-2728,4FGL J0145.0-2732 ,fsrq,26.240143,-27.480724,8.41467e-12,2.78498e-12,1.148
9,1FLE J0206-1705,4FGL J0205.0-1700 ,fsrq,31.575779,-17.089865,7.82063e-12,2.58837e-12,1.74
10,1FLE J0213-5047,4FGL J0210.7-5101 ,fsrq,33.368046,-50.797596,1.91318e-11,5.76965e-12,1.003
11,1FLE J0215+1034,4FGL J0211.2+1051 ,bll,33.833206,10.567013,7.35438e-12,2.43406e-12,0.0
12,1FLE J0221+7403,4FGL J0217.4+7352 ,fsrq,35.413559,74.065613,1.88581e-11,5.6871e-12,2.367
13,1FLE J0213+0107,4FGL J0217.8+0144 ,fsrq,33.318512,1.133162,5.75655e-12,1.90523e-12,1.715
14,1FLE J0221+3604,4FGL J0221.1+3556 ,fsrq,35.355751,36.071209,2.63062e-11,7.93327e-12,0.944
15,1FLE J0219+4256,4FGL J0222.6+4302 ,bll,34.809181,42.940071,2.82405e-11,8.5166e-12,0.444
16,1FLE J0238+2900,4FGL J0237.8+2848 ,fsrq,39.618816,29.01075,2.94371e-11,8.87746e-12,1.213
17,1FLE J0238+1638,4FGL J0238.6+1637 ,bll,39.521538,16.646463,1.72745e-11,5.20954e-12,0.94
18,1FLE J0246-4621,4FGL J0245.9-4650 ,fsrq,41.688938,-46.356407,1.35697e-11,4.49113e-12,1.385
19,1FLE J0254-2221,4FGL J0252.8-2219 ,fsrq,43.605782,-22.363956,1.38342e-11,4.57868e-12,1.427
20,1FLE J0309+1002,4FGL J0309.0+1029 ,fsrq,47.491192,10.043891,6.5695e-12,2.17429e-12,0.863
21,1FLE J0304-6121,4FGL J0309.9-6058 ,fsrq,46.117485,-61.355083,1.42848e-11,4.7278e-12,1.48
22,1FLE J0325+2204,4FGL J0325.7+2225 ,fsrq,51.478138,22.081448,1.10344e-11,3.65204e-12,2.066
23,1FLE J0329-3724,4FGL J0334.2-3725 ,bll,52.265808,-37.407497,1.33632e-11,4.42277e-12,0.0
24,1FLE J0331-3909,4FGL J0334.2-4008 ,bll,52.933949,-39.16156,7.80884e-12,2.58447e-12,1.357
